,0,1,2,3
0,면세 쇼핑은 역시 롯데면세점,no date,http://static.lottedfs.com/contents/images/event-img/20181001162521354f0334de5f23744a2aa3772ac9388ff91.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1008305
1,엘페이 고객 전용 $50 증정,no date,http://static.lottedfs.com/contents/images/event-img/20180913151130839b6927904f6e746e89f84a28a51b6de0e.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013829
2,롯데카드 e쇼핑 세이브,no date,http://static.lottedfs.com/contents/images/event-img/2017090110514053006a728a80fe84b73a3e88ef7df155c79.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000955
3,카카오페이 고객 전용 $50 증정,no date,http://static.lottedfs.com/contents/images/event-img/2018090418483952663e9561daaab41afaf9423a5b0bcb71e.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013103
4,카드 무이자 &amp; 쇼핑세이브 혜택 안내,no date,http://static.lottedfs.com/contents/images/event-img/201708311747452700bdd5c3ac5514a0abc860a31750d9d57.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000950
5,배달의민족 전용 혜택 이벤트,no date,http://static.lottedfs.com/contents/images/event-img/201809271408493210b00919ac0c441f9b4167b8a8f1e2e34.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013838
6,위메프 고객 경품 &amp; 플러스 적립금 증정,no date,http://static.lottedfs.com/contents/images/event-img/2018090510535096004f14400f5bb4397b777229780cb63ef.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013047
7,화해 플래티늄 등급업 &amp; 경품 증정,no date,http://static.lottedfs.com/contents/images/event-img/20180828163031508e3989a4395b44c2fa5bb71f904ad5fe5.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013314
8,위메프 99데이 제휴포인트 $20 증정,no date,http://static.lottedfs.com/contents/images/event-img/2018083016355435573c4bcf53beb4fb88dd02cafe2a970b0.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1013046
9,BNK 부산은행 고객 플러스 적립금 $3 증정,no date,http://static.lottedfs.com/contents/images/event-img/20180620110948714d567710a57f1479d82628ac308a33f83.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1010784
10,신한탑스클럽 고객 플래티늄+ 등급업,no date,http://static.lottedfs.com/contents/images/event-img/20180212154117692b22bd01af9d249d288278c8f7950a522.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000746
