,0,1,2,3
0,최대 40% 혜택 적립금 증정 이벤트 ,no date,http://static.lottedfs.com/contents/images/event-img/20180618182203728cee978b3b69c4a9d94d70e75f15b690c.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1008285
1,NEW 등급별 기본혜택,no date,http://static.lottedfs.com/contents/images/event-img/20170823174149942189123d4b1024ab486f39c235aa7b0fe.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000077
2,웨딩 청첩장 등록이벤트,no date,http://static.lottedfs.com/contents/images/event-img/20170821155819443f27c5f33450540b480f68038ef889aae.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000728
3,인도 후 적립금 증정 이벤트,no date,http://static.lottedfs.com/contents/images/event-img/20180226133445944334b421d644a4c0288213dead837efd0.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1007308
4,신규혜택 많이주는 예쁜 면세점 ,no date,http://static.lottedfs.com/contents/images/event-img/201805311444411969da99330651a48089c15e4ccc364af7d.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1009287
5,카카오페이 결제 시 할인 혜택,no date,http://static.lottedfs.com/contents/images/event-img/20180531165503711ba44cd6dd6e345f2af4c9a3d1c6312b6.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1010348
6,카드 무이자 &amp; 쇼핑세이브 혜택 안내,no date,http://static.lottedfs.com/contents/images/event-img/201708311747452700bdd5c3ac5514a0abc860a31750d9d57.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000950
7,WEEKEND 플러스 적립금,no date,http://static.lottedfs.com/contents/images/event-img/2018050416472503997668ee71ef2443689d1e8e30419382a.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1009729
8,롯데카드 e쇼핑 세이브,no date,http://static.lottedfs.com/contents/images/event-img/2017090110514053006a728a80fe84b73a3e88ef7df155c79.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000955
9,카카오페이 회원님을 위한 DOUBLE EVENT,no date,http://static.lottedfs.com/contents/images/event-img/201802141401154021bdd801ae8414ac5af058c20ce367d6f.png,http://kor.lottedfs.com/kr/event/eventDetail?evtDispNo=1000754
