,0,1,2,3
0,6월 혜택모음,2018-06-01 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/05/31/1527760212883_20180531_1_KR_PC_BN_6%EC%9B%94%ED%98%9C%ED%83%9D%EB%AA%A8%EC%9D%8C_%EC%9D%B4%EC%83%81%EB%B9%88_%EC%84%B1%EC%9D%80%ED%95%98[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/eventView?eventId=E31217
1,"화장품 구매하고, 아이스크림먹고!",2018-06-14 ~ 2018-07-13,http://media.shilladfs.com/files/attach/event/2018/06/14/1528965042227_20180614_1_KR_PC_BN_%EC%98%A8%EC%82%AC%EC%9D%B4%ED%8A%B8_%EC%9D%B4%EB%B2%A4%ED%8A%B8_6%EC%9B%94_적미브랜드%EC%9D%B4%EB%B2%A4%ED%8A%B8_%EC%9D%B4%EC%83%81%EB%B9%88_%ED%95%9C%EC%A7%84%EC%95%84[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/eventSimplePartView?eventId=E31294
2,6월 친구소환 럭키코인,2018-06-01 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/05/30/1527659865605_20180530_1_KR_PC_BN_6%EC%9B%94%EC%B9%9C%EA%B5%AC%EC%86%8C%ED%99%98%EB%9F%AD%ED%82%A4%EC%BD%94%EC%9D%B8_%EC%B5%9C%EC%95%84%EB%A6%84_%EA%B6%8C%EC%84%B1%EC%9D%80[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/withFriendEvent?eventId=E31273
3,18년 6월 행운의 룰렛,2018-06-01 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/06/01/1527814920011_20180601_1_KR_PC_BN_6%EC%9B%94%ED%96%89%EC%9A%B4%EC%9D%98%EB%A3%B0%EB%A0%9B_%EA%B9%80%EB%AF%BC%ED%9D%AC_%EA%B6%8C%EC%9C%A4%EB%AF%B8[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/luckyRoulette?eventId=E31246
4,서울점 선불카드 2만원 페이백 ,2018-06-14 ~ 2018-08-31,http://media.shilladfs.com/files/attach/event/2018/06/14/1528950654315_20180614_1_KR_PC_BN_%EC%84%A0%EB%B6%88%EC%B9%B4%EB%93%9C%ED%8E%98%EC%9D%B4%EB%B0%B1%EC%9D%B4%EB%B2%A4%ED%8A%B8_%EC%9D%B4%EC%83%81%EB%B9%88_%EC%B1%84%EC%86%A1%ED%99%94[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/seoulMultiPromotion?eventId=E31280
5,서울점 적립금 100만원 페이백 ,2018-06-14 ~ 2018-08-31,http://media.shilladfs.com/files/attach/event/2018/06/14/1528951286057_20180614_1_KR_PC_BN_%EC%A0%81%EB%A6%BD%EA%B8%88%ED%8E%98%EC%9D%B4%EB%B0%B1%EC%9D%B4%EB%B2%A4%ED%8A%B8_%EC%9D%B4%EC%83%81%EB%B9%88_%EC%B1%84%EC%86%A1%ED%99%94[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/seoulMultiPromotion?eventId=E31279
6,6월 출국예정일 등록 이벤트,2018-06-01 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/05/31/1527761492430_20180531_1_KR_PC_BN_6%EC%9B%94%EC%B6%9C%EA%B5%AD%EC%98%88%EC%A0%95%EC%9D%BC_%EC%A0%95%EC%9D%98%EC%88%A0_%EA%B6%8C%EC%9C%A4%EB%AF%B8[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/departDueDate?eventId=E30893
7,설레는 청춘 시즌2,2018-06-07 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/06/07/1528348793576_20180607_1_KR_PC_BN_20%EB%8C%80%EC%84%A4%EB%A0%88%EB%8A%94%EC%B2%AD%EC%B6%982_%EC%A0%95%EC%9D%98%EC%88%A0_%EA%B6%8C%EC%84%B1%EC%9D%80[227x254] - %EB%B3%B5%EC%82%AC%EB%B3%B8.jpg,http://www.shilladfs.com//estore/kr/ko/event/eventSimplePartView?eventId=E31189
8,6월 신라 다시 여름,2018-06-04 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/06/01/1527850265306_20180601_1_KR_PC_BN_6%EC%9B%94_%EC%8B%A0%EB%9D%BC%EB%8B%A4%EC%8B%9C%EC%97%AC%EB%A6%84_%EC%96%91%ED%98%84%EA%B2%BD_%EC%B1%84%EC%86%A1%ED%99%94[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/springAgain?eventId=E31362
9,6월 위클리 이벤트,2018-06-01 ~ 2018-06-30,http://media.shilladfs.com/files/attach/event/2018/05/31/1527761337598_20180531_1_KR_MO_BN_6%EC%9B%94%EC%9C%84%ED%81%B4%EB%A6%AC_%EC%A0%95%EC%9D%98%EC%88%A0_%EA%B6%8C%EC%9C%A4%EB%AF%B8[227x254].jpg,http://www.shilladfs.com//estore/kr/ko/event/weeklyEvent?eventId=E30894
