,0,1,2,3
0,오늘의 적립금300만원+BONUS,2018.09.14 ~ 2018.10.10,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19782
1,속보! 선착순 1만원 추가혜택,2018.09.29 ~ 2018.10.02,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19968
2,10월 특별혜택 모음 한눈에 보기!,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19769
3,"모바일APP 첫만남최대 11,000원 증정",2018.01.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=15197
4,10만원이상 구매 시 3천원 즉시할인,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19765
5,10월 22대 선글라스 즉시할인 이벤트,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19942
6,스마트 선불 5천원 무료 증정!,2018.09.21 ~ 2018.10.10,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19619
7,10월 신용카드 포인트 혜택,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19895
8,10월 신용카드 무이자 할부 행사 총집합,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19770
9,10월 KB국민카드 최대 8% 청구할인,2018.10.01 ~ 2018.10.15,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19923
10,현금처럼쓰세요!추가사용적립금 ,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19627
11,신세계 단독! BURBERRY 뷰티 런칭,2018.09.29 ~ 2018.10.17,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19780
12,오늘부터 1일♥신규가입심쿵혜택,2018.10.01 ~ 2018.10.31,http://image.ssgdfm.com/images/shop/upload/896/38494640x280_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8.png,http://www.ssgdfm.com/shop/promotion/detailEventClass01?eventId=19856
